project_name,name,counter
Uniswap_v3,Uniswap_v3: Pair,39278227
Cadc,Cadc: FiatTokenV2_1,24303986
Uniswap_v2,Uniswap_v2: Pair,21043972
Balancer_v2,Balancer_v2: Vault,14789369
Uniswap_v3,Uniswap_v3: SwapRouter,14054913
Sushi,Sushi: Pair,12918389
Balancer_v1,Balancer_v1: BPool,8359039
Generalizedfrontrunner_0,Generalizedfrontrunner_0: generalizedfrontrunner_0,6257284
Bancor,Bancor: StandardPoolConverter,6243068
Bancornetwork,Bancornetwork: ContractRegistry,3031505
Uniswap_v3,Uniswap_v3: NonfungiblePositionManager,2648220
Zeroex,Zeroex: ExchangeProxy,2168655
Synthetix,Synthetix: TokenState,2142861
Bancor,Bancor: DSToken,2132778
Shibaswap,Shibaswap: UniswapV2Pair,2115901
Balancer_v2,Balancer_v2: WeightedPool,2041994
Curvefi,Curvefi: tricrypto2_swap,1964933
Bancornetwork,Bancornetwork: BancorNetwork_v10,1421395
Aave_v2,Aave_v2: LendingPool,1267760
Rari_capital,Rari_capital: CErc20Delegate,1121309
Aragon,Aragon: Kernel,1109694
Lido,Lido: Kernel,1068417
Aave_v2,Aave_v2: StableDebtToken,1062110
Aave_v2,Aave_v2: VariableDebtToken,1012882
Chainlink,Chainlink: Aggregator,902825
Uniswap_v3,Uniswap_v3: NonfungibleTokenPositionManager,882740
Rari_capital,Rari_capital: Comptroller,860935
Curvefi,Curvefi: threepool_swap,811691
Aave_v2,Aave_v2: LendingPoolAddressesProvider,779909
Uniswap_v2,Uniswap_v2: Router02,751842
Chainlink,Chainlink: EACAggregatorProxy_v1,741255
Erc1820,Erc1820: ERC1820Registry,707085
Setprotocol_v2,Setprotocol_v2: Controller,703310
Aave_v2,Aave_v2: PriceOracle,683605
Oneinch,Oneinch: AggregationRouterV4,658056
Aave_v2,Aave_v2: IncentivesController,649964
Wormhole,Wormhole: TokenBridge,573456
Aragon,Aragon: TokenManager,558508
Bancor3,Bancor3: MasterVault,460636
Sushi,Sushi: Router02,415135
Balancer_v2,Balancer_v2: ProtocolFeesCollector,390130
Curvefi,Curvefi: registry,384261
Synthetix,Synthetix: SystemStatus,368367
Bancor,Bancor: LINKBNT_LiquidityPool,360623
Aave_v2,Aave_v2: LendingRateOracle,340746
Bancor,Bancor: SmartToken,336327
Compound_v2,Compound_v2: CErc20Delegator,333795
Bancor3,Bancor3: BancorNetwork,331719
Lido,Lido: Lido,326286
Oneinch,Oneinch: LimitOrderProtocolV2,318900
Kyber,Kyber: DMMPool,313211
Defiswap,Defiswap: CroDefiSwapPair,307736
Oneinch,Oneinch: AggregationRouterV5,301048
Compound_v2,Compound_v2: Unitroller,294115
Seaport,Seaport: Seaport,291872
Mooniswap,Mooniswap: MooniswapFactory_v2,288785
Synthetix,Synthetix: SynthetixDebtShare,286359
Bancor3,Bancor3: PoolCollectionV2,261367
Bancor3,Bancor3: BNTPool,236568
Curvefi,Curvefi: crveth_swap,223061
Seaport,Seaport: Conduit,213520
Curvefi,Curvefi: Vyper_contract,211921
Aave_v2,Aave_v2: DefaultReserveInterestRateStrategy,206206
Aave,Aave: LendingPool,198553
Curvefi,Curvefi: CurveFactory,198405
Crodefi,Crodefi: CroDefiSwapFactory,192455
Aave,Aave: LendingPoolCore,189317
Nftx_v2,Nftx_v2: NFTXVaultFactoryUpgradeable_v1,176505
Rari_capital,Rari_capital: MasterPriceOracle,176150
Dodo,Dodo: DSP,166220
Curvefi,Curvefi: cvxeth_swap,159609
Shibaswap,Shibaswap: UniswapV2Router02,159501
Zeroex_v3,Zeroex_v3: Exchange,155155
Chainlink,Chainlink: EACAggregatorProxy_v2,155102
Uniswap,Uniswap: Exchange,148733
Maker,Maker: vat,145229
Lido,Lido: LidoExecutionLayerRewardsVault,139532
Dodo,Dodo: DODO,134203
Curvefi,Curvefi: CurveFactoryV2,132862
Kyber,Kyber: Router,132406
Zeroex,Zeroex: ERC20Proxy,128817
Wyvern,Wyvern: WyvernProxyRegistry,126780
Aave_v3,Aave_v3: VariableDebtToken,122519
Synthetix_futuresmarket,Synthetix_futuresmarket: ProxyPerpsV2,118671
Fraxswap,Fraxswap: FraxswapPair,113227
Rocketpool,Rocketpool: RocketStorage,107241
Curvefi,Curvefi: wormhole_v2,105245
Uniswap_v3,Uniswap_v3: Factory,100780
Chainlink,Chainlink: FeedRegistry,96446
Aave_v2,Aave_v2: AToken,95550
Aave_v3,Aave_v3: AToken,94268
Oneinch_v4,Oneinch_v4: AggregationRouterV4,94008
Defiplaza,Defiplaza: DeFiPlaza,93976
Sushi,Sushi: BentoBoxV1,93195
Saddle_finance,Saddle_finance: LiquidityGaugeV5,92873
Kyber,Kyber: Elastic_Pool,92045
Olympus,Olympus: sOlympus,87635
Aave_v2,Aave_v2: LendingPoolCollateralManager,86989
Strike_lending,Strike_lending: SErc20Delegate,86515
Curvefi,Curvefi: steth_swap,83431
