timeStamp,blockNumber,gasPrice
2022-01-05 23:00:00,13948311,161331870627.20682
2022-01-06 00:00:00,13948583,157922764328.51083
2022-01-06 01:00:00,13948842,145491776261.82233
2022-01-06 02:00:00,13949106,160715216143.92578
2022-01-06 03:00:00,13949370,183456665921.6505
2022-01-06 04:00:00,13949607,148910693236.58932
2022-01-06 05:00:00,13949875,147245672327.93906
2022-01-06 06:00:00,13950148,187411980080.27957
2022-01-06 07:00:00,13950401,120492828674.82832
2022-01-06 08:00:00,13950675,119750092644.63774
2022-01-06 09:00:00,13950929,164303091717.5392
2022-01-06 10:00:00,13951171,115352998134.0255
2022-01-06 11:00:00,13951443,117751130114.28334
2022-01-06 12:00:00,13951724,125436753001.88832
2022-01-06 13:00:00,13951933,125730960759.39436
2022-01-06 14:00:00,13952231,155416970533.68777
2022-01-06 15:00:00,13952538,190564884466.01553
2022-01-06 16:00:00,13952828,158535218258.46765
2022-01-06 17:00:00,13953089,149261378545.79187
2022-01-06 18:00:00,13953365,131222229178.156
2022-01-06 19:00:00,13953643,140980640422.9163
2022-01-06 20:00:00,13953915,153050598463.53165
2022-01-06 21:00:00,13954168,152536957275.88083
2022-01-06 22:00:00,13954437,149682835677.47644
2022-01-06 23:00:00,13954705,126203002329.94382
2022-01-07 00:00:00,13954974,248551438801.51486
2022-01-07 01:00:00,13955250,191871357003.76016
2022-01-07 02:00:00,13955532,159742608652.30414
2022-01-07 03:00:00,13955778,222270528848.7723
2022-01-07 04:00:00,13956027,227324430767.43973
2022-01-07 05:00:00,13956290,175175053518.33252
2022-01-07 06:00:00,13956557,138038871978.9947
2022-01-07 07:00:00,13956836,147721596042.16666
2022-01-07 08:00:00,13957129,147373977617.02655
2022-01-07 09:00:00,13957394,120145326654.67522
